year,mpo_ag_for_fish_min,mpo_art_ent_rec_acc_food,mpo_construction,mpo_ed_services,mpo_fin_insur_real_est,mpo_health_social_assist,mpo_information,mpo_manufacturing,mpo_other_services,mpo_prof_services,mpo_gov,mpo_retail_trade,mpo_transp_warehouse_util,mpo_wholesale_trade,hope_ag_for_fish_min,hope_art_ent_rec_acc_food,hope_construction,hope_ed_services,hope_fin_insur_real_est,hope_health_social_assist,hope_information,hope_manufacturing,hope_other_services,hope_prof_services,hope_gov,hope_retail_trade,hope_transp_warehouse_util,hope_wholesale_trade,pet_ag_for_fish_min,pet_art_ent_rec_acc_food,pet_construction,pet_ed_services,pet_fin_insur_real_est,pet_health_social_assist,pet_information,pet_manufacturing,pet_other_services,pet_prof_services,pet_gov,pet_retail_trade,pet_transp_warehouse_util,pet_wholesale_trade,col_ag_for_fish_min,col_art_ent_rec_acc_food,col_construction,col_ed_services,col_fin_insur_real_est,col_health_social_assist,col_information,col_manufacturing,col_other_services,col_prof_services,col_gov,col_retail_trade,col_transp_warehouse_util,col_wholesale_trade,ches_ag_for_fish_min,ches_art_ent_rec_acc_food,ches_construction,ches_ed_services,ches_fin_insur_real_est,ches_health_social_assist,ches_information,ches_manufacturing,ches_other_services,ches_prof_services,ches_gov,ches_retail_trade,ches_transp_warehouse_util,ches_wholesale_trade,din_ag_for_fish_min,din_art_ent_rec_acc_food,din_construction,din_ed_services,din_fin_insur_real_est,din_health_social_assist,din_information,din_manufacturing,din_other_services,din_prof_services,din_gov,din_retail_trade,din_transp_warehouse_util,din_wholesale_trade,pg_ag_for_fish_min,pg_art_ent_rec_acc_food,pg_construction,pg_ed_services,pg_fin_insur_real_est,pg_health_social_assist,pg_information,pg_manufacturing,pg_other_services,pg_prof_services,pg_gov,pg_retail_trade,pg_transp_warehouse_util,pg_wholesale_trade
2014,0.002,0.03,0.03,0.032,0.204,0.088,0.09,0.094,0.019,0.158,0.099,0.049,0.033,0.07,0.025,0.034,0.028,0.216,0.091,0.039,0.085,0.02,0.151,0.144,0.065,0.028,0.073,0.003,0.037,0.016,0.22,0.077,0.052,0.128,0.02,0.175,0.062,0.054,0.035,0.093,0.003,0.033,0.012,0.199,0.093,0.047,0.138,0.027,0.123,0.075,0.064,0.031,0.094,0.001,0.021,0.035,0.251,0.09,0.037,0.074,0.019,0.132,0.149,0.072,0.026,0.088,0.002,0.033,0.038,0.013,0.132,0.032,0.071,0.023,0.14,0.146,0.072,0.031,0.058,0.011,0.021,0.029,0.01,0.25,0.068,0.092,0.016,0.195,0.06,0.068,0.015,0.112,0.001,0.029,0.04,0.035,0.221,0.083
2015,0.002,0.03,0.033,0.032,0.206,0.089,0.088,0.088,0.019,0.158,0.097,0.05,0.034,0.069,0.025,0.034,0.027,0.213,0.091,0.039,0.079,0.02,0.142,0.14,0.068,0.026,0.076,0.003,0.043,0.016,0.222,0.079,0.056,0.121,0.021,0.174,0.062,0.055,0.036,0.089,0.002,0.035,0.012,0.198,0.097,0.047,0.133,0.029,0.122,0.074,0.066,0.033,0.09,0.002,0.022,0.036,0.243,0.093,0.041,0.076,0.019,0.134,0.14,0.076,0.025,0.087,0.001,0.034,0.039,0.012,0.137,0.03,0.072,0.023,0.14,0.143,0.075,0.032,0.058,0.012,0.021,0.031,0.01,0.252,0.075,0.088,0.017,0.194,0.059,0.064,0.016,0.107,0.001,0.03,0.042,0.035,0.221,0.086
2016,0.003,0.032,0.034,0.033,0.206,0.09,0.096,0.084,0.019,0.16,0.095,0.05,0.035,0.063,0.027,0.034,0.028,0.215,0.093,0.037,0.08,0.02,0.152,0.136,0.069,0.035,0.071,0.005,0.046,0.017,0.224,0.079,0.058,0.117,0.021,0.173,0.061,0.055,0.037,0.082,0.001,0.035,0.012,0.2,0.098,0.047,0.132,0.029,0.122,0.072,0.067,0.036,0.085,0.002,0.023,0.034,0.246,0.096,0.045,0.075,0.019,0.128,0.138,0.08,0.028,0.081,0.001,0.039,0.04,0.012,0.138,0.025,0.074,0.023,0.145,0.135,0.075,0.032,0.054,0.017,0.021,0.034,0.01,0.253,0.083,0.084,0.017,0.193,0.059,0.062,0.018,0.093,0.001,0.03,0.045,0.036,0.23,0.087
2017,0.002,0.033,0.036,0.033,0.209,0.091,0.084,0.085,0.02,0.162,0.095,0.05,0.032,0.063,0.031,0.035,0.028,0.208,0.093,0.034,0.081,0.02,0.143,0.135,0.07,0.029,0.073,0.004,0.046,0.017,0.229,0.078,0.059,0.114,0.021,0.177,0.059,0.053,0.037,0.08,0.002,0.035,0.012,0.212,0.098,0.045,0.13,0.029,0.123,0.07,0.064,0.034,0.084,0.003,0.023,0.036,0.239,0.096,0.041,0.075,0.018,0.133,0.137,0.08,0.03,0.084,0,0.051,0.04,0.011,0.14,0.022,0.074,0.024,0.145,0.133,0.075,0.033,0.053,0.013,0.021,0.036,0.01,0.269,0.09,0.078,0.018,0.196,0.059,0.058,0.015,0.085,0.001,0.03,0.046,0.035,0.231,0.085
2018,0.002,0.034,0.035,0.033,0.213,0.092,0.078,0.086,0.02,0.165,0.095,0.05,0.032,0.063,0.031,0.034,0.027,0.204,0.091,0.034,0.095,0.02,0.151,0.133,0.067,0.035,0.075,0.004,0.045,0.016,0.233,0.078,0.061,0.112,0.021,0.179,0.059,0.054,0.033,0.077,0.001,0.036,0.012,0.215,0.099,0.046,0.126,0.03,0.124,0.07,0.062,0.034,0.084,0.002,0.024,0.036,0.241,0.093,0.04,0.077,0.018,0.129,0.138,0.077,0.031,0.087,0,0.052,0.041,0.01,0.14,0.021,0.085,0.025,0.145,0.132,0.073,0.032,0.056,0.013,0.02,0.035,0.009,0.289,0.089,0.073,0.018,0.194,0.055,0.065,0.015,0.074,0,0.031,0.045,0.036,0.233,0.087
2019,0.002,0.034,0.036,0.034,0.205,0.093,0.07,0.093,0.021,0.169,0.094,0.051,0.034,0.065,0.03,0.033,0.026,0.198,0.09,0.032,0.114,0.02,0.146,0.128,0.066,0.036,0.078,0.003,0.046,0.017,0.22,0.08,0.063,0.116,0.021,0.18,0.059,0.055,0.035,0.078,0.002,0.036,0.013,0.201,0.105,0.053,0.119,0.029,0.124,0.07,0.064,0.036,0.085,0.003,0.025,0.036,0.235,0.094,0.042,0.076,0.018,0.126,0.137,0.078,0.033,0.092,0.001,0.05,0.041,0.011,0.141,0.02,0.077,0.025,0.149,0.13,0.076,0.032,0.06,0.011,0.022,0.037,0.01,0.276,0.09,0.075,0.019,0.198,0.056,0.068,0.014,0.073,0.001,0.034,0.045,0.035,0.215,0.088
2020,0.003,0.024,0.035,0.033,0.216,0.094,0.066,0.096,0.019,0.168,0.097,0.052,0.032,0.065,0.02,0.034,0.025,0.211,0.088,0.032,0.113,0.018,0.149,0.129,0.067,0.036,0.077,0.004,0.043,0.017,0.225,0.081,0.065,0.122,0.019,0.179,0.059,0.056,0.03,0.078,0.002,0.03,0.013,0.212,0.106,0.051,0.115,0.026,0.125,0.071,0.066,0.039,0.086,0.002,0.017,0.036,0.251,0.091,0.043,0.073,0.016,0.128,0.137,0.078,0.037,0.085,0.001,0.031,0.042,0.01,0.139,0.02,0.073,0.023,0.153,0.134,0.079,0.032,0.059,0.014,0.018,0.037,0.01,0.271,0.099,0.073,0.017,0.193,0.058,0.068,0.015,0.074,0.001,0.027,0.043,0.037,0.241,0.096
2021,0.002,0.029,0.03,0.032,0.211,0.091,0.061,0.103,0.019,0.174,0.09,0.055,0.033,0.064,0.024,0.033,0.024,0.202,0.085,0.033,0.126,0.018,0.15,0.118,0.072,0.037,0.077,0.003,0.043,0.016,0.22,0.079,0.066,0.121,0.019,0.187,0.055,0.058,0.032,0.074,0.002,0.037,0.013,0.205,0.102,0.05,0.112,0.026,0.132,0.067,0.07,0.04,0.086,0.003,0.022,0.035,0.245,0.089,0.045,0.071,0.016,0.135,0.128,0.083,0.041,0.082,0.001,0.036,0.041,0.011,0.136,0.018,0.075,0.025,0.155,0.125,0.084,0.033,0.058,0.01,0.02,0.036,0.01,0.251,0.116,0.074,0.018,0.201,0.055,0.068,0.017,0.07,0.001,0.032,0.045,0.034,0.235,0.093
2022,0.002,0.032,0.036,0.031,0.195,0.091,0.053,0.106,0.02,0.174,0.085,0.052,0.035,0.065,0.026,0.032,0.023,0.132,0.085,0.032,0.13,0.019,0.143,0.111,0.065,0.037,0.08,0.003,0.046,0.016,0.225,0.078,0.06,0.12,0.021,0.189,0.052,0.055,0.036,0.074,0.002,0.038,0.012,0.213,0.1,0.043,0.117,0.028,0.138,0.061,0.066,0.04,0.085,0.004,0.023,0.035,0.245,0.089,0.047,0.071,0.017,0.137,0.123,0.074,0.041,0.087,0.001,0.042,0.04,0.011,0.138,0.017,0.075,0.023,0.153,0.119,0.077,0.031,0.063,0.007,0.022,0.038,0.01,0.257,0.113,0.075,0.02,0.205,0.053,0.06,0.016,0.073,0.001,0.03,0.046,0.034,0.246,0.093
2023,0.001,0.034,0.036,0.032,0.217,0.094,0.054,0.101,0.02,0.175,0.084,0.054,0.034,0.062,0.029,0.033,0.024,0.205,0.088,0.035,0.127,0.019,0.151,0.109,0.067,0.036,0.075,0.002,0.046,0.016,0.229,0.081,0.061,0.114,0.021,0.186,0.052,0.057,0.035,0.073,0.002,0.04,0.011,0.22,0.103,0.044,0.115,0.027,0.132,0.06,0.067,0.04,0.082,0.002,0.025,0.036,0.243,0.091,0.054,0.075,0.017,0.133,0.121,0.077,0.039,0.08,0.001,0.047,0.039,0.012,0.144,0.018,0.071,0.023,0.152,0.117,0.079,0.032,0.061,0.004,0.023,0.039,0.01,0.261,0.112,0.075,0.02,0.208,0.052,0.061,0.016,0.069,0.001,0.033,0.044,0.034,0.243,0.095
