year,MPO_female,MPO_latinx,MPO_asian,MPO_black,MPO_minority,Hopewell_female,Hopewell_latinx,Hopewell_asian,Hopewell_black,Hopewell_minority,Petersburg_female,Petersburg_latinx,Petersburg_asian,Petersburg_black,Petersburg_minority,ColonialHeights_female,ColonialHeights_latinx,ColonialHeights_asian,ColonialHeights_black,ColonialHeights_minority,Chesterfield_female,Chesterfield_latinx,Chesterfield_asian,Chesterfield_black,Chesterfield_minority,Dinwiddie_female,Dinwiddie_latinx,Dinwiddie_asian,Dinwiddie_black,Dinwiddie_minority,PrinceGeorge_female,PrinceGeorge_latinx,PrinceGeorge_asian,PrinceGeorge_black,PrinceGeorge_minority,value
2020,0.007,0.079,0.031,0.149,0.099,0.001,0.067,0.028,0.103,0.071,0.006,0.077,0.019,0.135,0.066,-0.002,0.057,0.013,0.096,0.034,-0.005,0.067,0.023,0.088,0.066,0.003,0.034,0.112,0.121,0.119,0.009,0.119,-0.021,0.125,0.009,All
2021,0.012,0.075,0.017,0.147,0.099,0.009,0.053,0.01,0.11,0.073,0.009,0.078,0.011,0.13,0.069,0.003,0.091,0.023,0.12,0.054,0.009,0.047,0.015,0.103,0.075,0.01,0.045,0.041,0.12,0.101,0.014,0.083,-0.034,0.133,0.005,All
2022,0.01,0.083,0.012,0.168,0.118,-0.001,0.063,0.018,0.121,0.091,0.007,0.091,0.014,0.165,0.094,0.004,0.096,-0.002,0.146,0.05,0,0.046,0.004,0.105,0.08,-0.009,0.067,0.029,0.138,0.116,0.029,0.095,-0.02,0.185,0.039,All
2023,0.011,0.085,0.008,0.171,0.119,-0.006,0.066,0.009,0.108,0.076,0.018,0.096,0.015,0.172,0.1,0.032,0.077,0.013,0.151,0.063,-0.004,0.026,-0.007,0.094,0.066,-0.005,0.075,0.011,0.12,0.097,0.028,0.141,-0.037,0.175,0.022,All
2007,0.111,0.171,0.072,0.229,0.201,0.104,0.169,0.029,0.191,0.166,0.112,0.159,0.069,0.232,0.186,0.084,0.216,0.074,0.197,0.129,0.115,0.165,0.044,0.196,0.181,0.116,0.19,0.067,0.183,0.164,0.117,0.115,-0.089,0.249,0.156,Refinancing
2008,0.132,0.16,0.07,0.277,0.227,0.111,0.171,0.061,0.199,0.171,0.145,0.117,0.019,0.304,0.195,0.128,0.105,0.045,0.312,0.165,0.149,0.153,0.075,0.236,0.217,0.068,0.141,0.098,0.177,0.164,0.151,0.132,-0.037,0.24,0.131,Refinancing
2009,0.092,0.159,0.054,0.258,0.15,0.089,0.158,0.041,0.19,0.117,0.087,0.072,0.022,0.233,0.096,0.093,0.043,0.04,0.183,0.081,0.097,0.144,0.058,0.195,0.144,0.088,0.169,0.129,0.17,0.149,0.081,0.111,0,0.264,0.077,Refinancing
2010,0.07,0.141,0.04,0.243,0.123,0.099,0.15,0.037,0.21,0.112,0.054,0.061,0.018,0.19,0.068,0.048,0.04,0.002,0.175,0.04,0.109,0.103,0.055,0.189,0.132,0.123,0.205,0.102,0.248,0.178,0.061,0.11,-0.005,0.197,0.044,Refinancing
2011,0.055,0.123,0.048,0.2,0.113,0.061,0.11,0.016,0.155,0.078,0.041,0.065,0.032,0.18,0.082,0.043,0.063,0.04,0.117,0.066,0.071,0.051,0.066,0.112,0.099,0.047,0.163,0.102,0.192,0.142,0.041,0.061,-0.017,0.195,0.033,Refinancing
2012,0.049,0.106,0.048,0.177,0.102,0.051,0.097,0.018,0.128,0.071,0.038,0.07,0.04,0.15,0.075,0.045,0.093,0.045,0.159,0.072,0.047,0.011,0.042,0.115,0.088,0.05,0.125,0.07,0.114,0.095,0.041,0.107,-0.013,0.125,0.02,Refinancing
2013,0.045,0.115,0.053,0.173,0.111,0.044,0.091,0.019,0.102,0.063,0.039,0.088,0.037,0.172,0.089,0.045,0.08,0.08,0.17,0.103,0.054,0.045,-0.055,0.104,0.045,0.038,0.128,0.087,0.088,0.092,0.056,0.053,0.017,0.138,0.055,Refinancing
2014,0.043,0.137,0.069,0.218,0.161,0.033,0.157,0.028,0.173,0.119,0.045,0.089,0.055,0.213,0.137,0.022,0.135,0.063,0.259,0.118,0.024,0.077,0.004,0.168,0.121,0.049,0.189,0.074,0.117,0.106,0.029,0.148,0.03,0.208,0.125,Refinancing
2015,0.042,0.138,0.022,0.239,0.14,0.024,0.103,0.009,0.194,0.118,0.049,0.116,0.013,0.238,0.109,0.031,0.139,-0.001,0.211,0.062,0.015,0.008,0.008,0.182,0.122,0.011,0.123,0.107,0.135,0.126,0.053,0.12,-0.054,0.193,0.059,Refinancing
2016,0.06,0.135,0.032,0.235,0.137,0.058,0.069,0.018,0.203,0.117,0.053,0.145,-0.003,0.194,0.082,0.058,0.191,0.017,0.166,0.07,0.094,0.004,0.023,0.23,0.151,0.032,0.07,0.121,0.218,0.18,0.052,0.095,-0.061,0.194,0.03,Refinancing
2017,0.035,0.101,0.057,0.214,0.152,0.014,0.134,0.054,0.179,0.126,0.029,0.043,0.052,0.165,0.112,0.026,0.02,-0.006,0.067,0.018,0.01,0.065,0.08,0.146,0.123,0.027,0.156,0.08,0.233,0.168,0.03,0.116,0.02,0.239,0.161,Refinancing
2018,-0.007,0.151,0.101,0.23,0.2,-0.006,0.145,0.08,0.2,0.166,-0.016,0.117,0.089,0.234,0.177,-0.032,0.034,0.024,0.133,0.077,-0.023,0.154,0.079,0.197,0.176,-0.007,0.15,0.078,0.191,0.166,-0.016,0.21,-0.013,0.27,0.141,Refinancing
2019,0.021,0.158,0.05,0.223,0.169,0.019,0.124,0.025,0.204,0.135,0.006,0.167,0.034,0.199,0.118,0.002,0.148,0.024,0.121,0.064,0.027,0.07,0.046,0.176,0.144,0.009,0.131,0.119,0.224,0.2,0.012,0.214,-0.039,0.151,0.023,Refinancing
2020,0.008,0.112,0.023,0.181,0.104,0.008,0.104,0.004,0.144,0.069,0.003,0.083,0.015,0.164,0.065,-0.011,0.076,0.013,0.132,0.038,-0.001,0.091,0.015,0.141,0.087,0,0.077,0.117,0.163,0.146,0,0.123,-0.019,0.14,0.01,Refinancing
2021,0.007,0.103,0.024,0.171,0.114,0.009,0.082,0.006,0.14,0.083,0.004,0.097,0.013,0.153,0.077,-0.005,0.088,0.033,0.119,0.059,0.002,0.059,0.028,0.148,0.109,0.008,0.071,0.051,0.139,0.113,0.01,0.125,-0.044,0.142,0.001,Refinancing
2022,0.001,0.137,0.062,0.192,0.166,-0.007,0.118,0.053,0.158,0.138,-0.006,0.111,0.043,0.197,0.147,-0.015,0.121,0.013,0.149,0.087,-0.019,0.078,0.074,0.131,0.134,0.014,0.12,0.069,0.191,0.175,-0.009,0.08,0.014,0.215,0.107,Refinancing
2023,0.003,0.158,0.104,0.184,0.172,0.011,0.122,0.077,0.127,0.118,0.001,0.183,0.107,0.2,0.175,-0.01,0.17,0.126,0.266,0.2,0.006,0.068,0.062,0.113,0.116,-0.004,0.11,0.129,0.139,0.143,0.015,0.169,0.011,0.132,0.074,Refinancing
2007,0.049,0.122,0.022,0.209,0.128,0.062,0.099,0.011,0.179,0.116,0.031,0.108,0.024,0.165,0.085,0.031,0.128,0.023,0.106,0.045,0.066,0.042,0.032,0.154,0.124,0.067,0.129,0.056,0.172,0.141,0.022,0.15,-0.023,0.169,0.038,Home Purchase
2008,0.026,0.078,0.045,0.141,0.093,0.022,0.083,0,0.143,0.076,0.019,0.049,0.052,0.067,0.064,0.02,-0.001,0.06,-0.021,0.052,0.07,0.127,-0.001,0.13,0.083,0.002,0.113,0.019,0.115,0.084,0.023,0.122,0.014,0.023,0.033,Home Purchase
2009,0.026,0.058,0.082,0.134,0.097,0.024,0.054,0.057,0.087,0.067,0.018,0.062,0.074,0.128,0.082,0.022,0.085,0.058,0.138,0.059,0.05,-0.02,0.038,0.081,0.056,0.004,0.057,0.103,0.113,0.108,0.028,0.078,0.078,0.123,0.103,Home Purchase
2010,0.031,0.066,0.039,0.102,0.066,0.04,0.057,0.031,0.113,0.069,0.025,0.065,0.026,0.057,0.036,0.047,0.084,0.043,-0.041,0.026,0.013,-0.045,0.051,0.057,0.055,0.034,0.12,0.086,0.149,0.112,-0.005,0.113,-0.011,0.089,0.021,Home Purchase
2011,0.028,0.075,0.065,0.124,0.085,0.037,0.106,0.072,0.08,0.074,0.02,0.022,0.039,0.107,0.061,0.046,-0.005,0.051,0.085,0.059,0.058,0.094,0.084,0.047,0.073,0.049,0.126,0.101,0.08,0.085,0.03,0.003,0.006,0.168,0.045,Home Purchase
2012,0.035,0.058,0.037,0.178,0.093,0.032,0.045,0.033,0.158,0.092,0.035,0.065,0.035,0.149,0.069,0.058,0.103,-0.002,0.141,0.023,0.032,0.072,0.04,0.114,0.097,0.05,0.065,0.081,0.19,0.14,-0.003,0.05,0.053,0.158,0.081,Home Purchase
2013,0.018,0.082,0.06,0.149,0.091,0.011,0.091,0.049,0.144,0.085,0.018,0.097,0.052,0.134,0.079,0.018,0.11,0.029,0.057,0.045,0.021,0.027,0.056,0.175,0.106,0.026,0.132,0.14,0.111,0.141,0.018,0.141,0.035,0.05,0.048,Home Purchase
2014,0.024,0.085,0.037,0.131,0.072,0.023,0.106,0.042,0.097,0.066,0.021,0.049,0.024,0.097,0.05,0.022,-0.021,0.052,0.017,0.054,0.019,0.056,0.018,0.172,0.093,0.037,0.149,0.077,0.033,0.068,0.025,0.143,0.009,0.073,0.021,Home Purchase
2015,0.013,0.059,0.043,0.104,0.065,0.004,0.034,0.078,0.093,0.083,0.008,0.057,0.014,0.076,0.034,0.012,0.007,0.011,0.006,0.014,-0.011,-0.026,0.068,0.062,0.066,0.025,0.035,0.076,0.115,0.099,0.026,0.109,-0.011,0.05,0.001,Home Purchase
2016,0.028,0.083,0.036,0.109,0.062,0.029,0.131,0.027,0.102,0.058,0.028,0.056,0.049,0.125,0.073,0.018,0.032,0.02,0.115,0.044,0.041,0.127,-0.018,0.075,0.031,0.018,0.13,0.091,0.113,0.1,0.039,0.096,0.058,0.181,0.08,Home Purchase
2017,0.024,0.058,0.031,0.11,0.06,0.022,0.047,0.055,0.132,0.094,0.02,0.055,0.029,0.075,0.043,0.042,0.071,0.006,0.076,0.021,0.045,0.041,0.058,0.113,0.088,0.001,0.046,0.05,0.178,0.131,0.034,0.079,0.039,0.068,0.044,Home Purchase
2018,0.002,0.072,0.038,0.109,0.079,-0.011,0.069,0.049,0.104,0.083,0.001,0.063,0.042,0.108,0.074,0.017,0.098,0.014,0.023,0.018,-0.019,0.048,0.019,0.067,0.05,-0.002,0.071,0.059,0.125,0.109,-0.003,0.021,0.009,0.141,0.04,Home Purchase
2019,0.002,0.053,0.031,0.089,0.066,-0.001,0.048,0.034,0.076,0.063,-0.001,0.057,0.035,0.08,0.058,0,0.042,0.012,0.062,0.03,0.013,0.056,0.02,0.074,0.058,0.002,0.043,0.074,0.083,0.085,-0.012,0.064,0.006,0.109,0.032,Home Purchase
2020,0.002,0.056,0.038,0.087,0.069,-0.007,0.055,0.054,0.085,0.074,0.011,0.069,0.033,0.099,0.066,0.017,0.041,0.009,0.037,0.02,-0.007,0.06,0.032,0.063,0.056,0.004,0.021,0.081,0.104,0.097,0.026,0.099,-0.01,0.109,0.016,Home Purchase
2021,0.014,0.05,0.021,0.085,0.06,0.015,0.039,0.027,0.094,0.071,0.013,0.061,0.024,0.095,0.058,0.008,0.088,0.032,0.077,0.047,0.018,0.054,0.024,0.068,0.052,0.02,0.014,0.025,0.117,0.096,0.012,0.043,0.004,0.081,0.019,Home Purchase
2022,0.008,0.058,0.023,0.095,0.065,0.002,0.056,0.036,0.095,0.075,0.011,0.077,0.032,0.099,0.059,0.03,0.094,0.022,0.099,0.04,-0.005,0.059,0.034,0.076,0.06,-0.01,0.025,0.053,0.116,0.1,0.044,0.094,0.01,0.137,0.034,Home Purchase
2023,0.006,0.059,0.025,0.09,0.062,-0.007,0.045,0.036,0.088,0.065,0.016,0.09,0.03,0.092,0.056,0.06,0.046,0.022,0.049,0.029,0.005,0.038,0.033,0.089,0.066,-0.005,0.052,0.019,0.104,0.076,0.016,0.177,-0.004,0.131,0.017,Home Purchase
2007,0.105,0.239,0.133,0.34,0.298,0.105,0.191,0.041,0.233,0.214,0.068,0.174,0.136,0.335,0.257,0.049,0.253,0.134,0.191,0.184,0.129,0.145,-0.002,0.242,0.213,0.088,0.195,-0.023,0.211,0.187,0.025,0.149,0.097,0.329,0.275,Home Improvement
2008,0.131,0.306,0.189,0.317,0.283,0.094,0.251,0.141,0.234,0.212,0.126,0.25,0.137,0.297,0.222,0.152,0.381,0.111,0.406,0.184,0.117,0.243,0.114,0.265,0.241,0.017,0.28,0.141,0.23,0.201,0.087,0.21,0.058,0.32,0.237,Home Improvement
2009,0.137,0.341,0.161,0.359,0.31,0.068,0.323,0.141,0.247,0.23,0.131,0.145,0.103,0.348,0.215,0.165,0.309,0.037,0.445,0.135,0.084,0.431,-0.032,0.282,0.252,0.064,0.324,0.163,0.146,0.158,0.073,0.21,0.233,0.189,0.267,Home Improvement
2010,0.12,0.304,0.222,0.31,0.289,0.097,0.165,0.024,0.208,0.178,0.107,0.266,0.241,0.321,0.273,0.07,0.388,0.284,0.151,0.18,0.163,0.105,0.186,0.32,0.278,0.056,0.253,0.031,0.155,0.157,0.095,0.257,0.378,0.207,0.278,Home Improvement
2011,0.11,0.254,0.186,0.346,0.299,0.072,0.231,0.17,0.186,0.178,0.092,0.131,0.163,0.297,0.244,0.033,0.098,0.148,0.056,0.193,0.134,0.28,0.237,0.312,0.279,0.039,0.233,0.242,0.018,0.079,0.147,0.166,-0.022,0.343,0.162,Home Improvement
2012,0.12,0.278,0.207,0.303,0.284,0.096,0.216,0.192,0.138,0.186,0.11,0.106,0.157,0.339,0.256,0.103,0.074,0.301,0.255,0.261,0.18,0.191,0.158,0.178,0.195,0.031,0.215,0.211,0.047,0.108,0.046,0.034,-0.236,0.213,0.067,Home Improvement
2013,0.115,0.235,0.176,0.33,0.294,0.092,0.19,0.054,0.172,0.16,0.101,0.119,0.236,0.286,0.263,0.13,0.154,0.23,0.397,0.297,0.117,0.322,0.167,0.167,0.167,0.124,0.16,0.078,0.142,0.162,0.064,-0.062,0.105,0.2,0.126,Home Improvement
2014,0.103,0.236,0.209,0.364,0.326,0.069,0.258,0.17,0.211,0.214,0.083,0.076,0.239,0.36,0.292,0.074,0.154,0.219,0.302,0.191,0.043,0.042,0.051,0.193,0.161,0.026,0.386,0.195,0.226,0.256,0.1,-0.085,0.006,0.165,0.115,Home Improvement
2015,0.119,0.213,0.155,0.374,0.306,0.088,0.203,0.129,0.198,0.183,0.088,-0.047,0.118,0.325,0.226,0.054,-0.068,0.045,0.487,0.158,0.059,0.079,0.259,0.232,0.219,0.117,0.244,0.38,0.236,0.273,0.035,0.191,-0.06,0.171,0.124,Home Improvement
2016,0.081,0.248,0.08,0.324,0.247,0.098,0.233,0.146,0.165,0.159,0.044,0.169,0.029,0.338,0.189,0.087,0.198,0.044,0.346,0.144,0.123,0.334,0.181,0.053,0.074,0.069,0.272,0.214,0.135,0.188,0.015,0.25,-0.105,0.426,0.193,Home Improvement
2017,0.084,0.282,0.106,0.307,0.243,0.127,0.298,0.075,0.188,0.15,0.028,0.149,0.078,0.284,0.201,0.001,0.22,-0.068,-0.049,-0.016,0.167,0.209,0.115,0.207,0.178,0.135,0.376,0.037,0.217,0.139,0.008,0.014,-0.141,0.112,0.001,Home Improvement
2018,0.006,0.254,0.188,0.289,0.261,0.021,0.213,0.143,0.235,0.201,-0.01,0.258,0.193,0.282,0.242,-0.014,0.304,0.231,0.236,0.233,0.024,0.208,0.144,0.263,0.221,0.023,0.185,0.208,0.233,0.243,0.016,0.185,0.093,0.235,0.154,Home Improvement
2019,0.019,0.266,0.205,0.293,0.271,0.007,0.217,0.132,0.253,0.213,0.006,0.248,0.208,0.273,0.25,0.016,0.254,0.176,0.215,0.2,-0.011,0.207,0.137,0.231,0.207,-0.008,0.213,0.213,0.236,0.234,0.012,0.182,0.086,0.198,0.123,Home Improvement
2020,0.028,0.246,0.2,0.287,0.264,0.02,0.257,0.174,0.227,0.201,0.024,0.205,0.165,0.29,0.233,-0.004,0.112,0.19,0.209,0.185,0,0.264,0.15,0.195,0.181,0.024,0.284,0.318,0.211,0.238,0.018,0.338,0.053,0.186,0.102,Home Improvement
2021,0.044,0.264,0.168,0.304,0.271,0.03,0.275,0.128,0.221,0.2,0.035,0.218,0.145,0.298,0.235,0.024,0.224,0.079,0.295,0.175,0.053,0.263,0.133,0.202,0.189,0.016,0.307,0.136,0.21,0.203,0.05,0.149,0.044,0.402,0.173,Home Improvement
2022,0.047,0.243,0.164,0.296,0.264,0.041,0.234,0.109,0.243,0.202,0.032,0.197,0.152,0.304,0.24,0.006,0.156,0.092,0.226,0.14,0.105,0.279,0.073,0.265,0.208,-0.003,0.279,0.096,0.242,0.212,0.061,0.218,0.077,0.267,0.142,Home Improvement
2023,0.026,0.234,0.205,0.277,0.267,0.016,0.247,0.194,0.194,0.201,0.031,0.181,0.2,0.293,0.268,0.007,0.197,0.185,0.243,0.22,0.019,0.208,0.168,0.171,0.178,0.02,0.278,0.182,0.206,0.207,0.071,0.115,0.121,0.307,0.209,Home Improvement
